client_id,latency_ms,memory_spike_mb
1,2012.5930309295654,2.87109375
3,2024.679183959961,2.69921875
0,2066.5335655212402,3.265625
4,2049.41463470459,2.0546875
2,2022.3114490509033,2.046875
1,1983.386516571045,2.87109375
3,1948.1971263885498,2.69921875
4,1958.3327770233154,2.328125
0,1963.0892276763916,2.65234375
2,1999.2001056671143,2.71484375
0,1266.2067413330078,2.5703125
1,2068.277597427368,2.3984375
4,2011.610746383667,2.765625
3,2068.9916610717773,2.765625
2,2059.4849586486816,0
0,1924.830436706543,2.30078125
4,1978.5010814666748,0
1,2009.4423294067383,2.33984375
3,2056.969404220581,0
2,2011.7909908294678,2.71484375
0,1942.5592422485352,2.640625
1,1937.509298324585,2.65234375
4,1981.9531440734863,2.73828125
2,1927.4332523345947,2.3046875
3,2045.189619064331,2.82421875
0,1931.1668872833252,2.36328125
4,2054.6975135803223,2.734375
1,2091.874122619629,2.453125
2,2005.9289932250977,2.73828125
0,1884.1769695281982,2.359375
1,1578.871250152588,2.73046875
4,1987.678050994873,1.98828125
2,1943.258285522461,2.37109375
3,1945.7964897155762,2.765625
0,2154.2935371398926,2.71484375
1,2230.029582977295,2.41796875
4,2262.7344131469727,3.10546875
3,2260.7336044311523,2.328125
2,2269.7062492370605,2.67578125
0,2067.582845687866,3.26171875
1,1920.75777053833,0.453125
4,1912.9137992858887,2.0546875
2,1961.0183238983154,2.046875
3,2032.5651168823242,2.69921875
1,1104.0849685668945,0
0,1887.0079517364502,0
2,1257.8074932098389,0
4,1534.2471599578857,0
3,1451.2383937835693,0
3,2053.16424369812,3.55859375
1,2104.4375896453857,3.55859375
4,2118.7453269958496,2.3515625
0,2128.0791759490967,3.65625
2,2119.508981704712,3.23046875
3,1991.3694858551025,0
0,1979.0749549865723,3.2890625
1,2010.784387588501,1.9453125
4,2037.6172065734863,2.375
2,2020.95627784729,2.671875
1,2138.3066177368164,2.765625
4,2112.814426422119,2.44921875
3,2210.2415561676025,1.91015625
0,2225.2554893493652,2.3671875
2,2194.6356296539307,2.7734375
3,2035.6791019439697,0.39453125
1,2110.524892807007,2.328125
4,2140.993356704712,2.81640625
0,2121.9894886016846,2.6796875
2,2147.387981414795,3.26171875
4,2355.538845062256,2.39453125
3,2549.5758056640625,2.0234375
0,2391.4425373077393,2.39453125
2,2408.820867538452,2.33203125
4,2502.9640197753906,3.77734375
1,2524.85990524292,2.7734375
0,2589.362382888794,3.77734375
